sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9709366998749903
6.9,3.1,5.1,2.3,virginica,0.9653224738533158
5.1,2.5,3.0,1.1,versicolor,0.9522999120945328
4.4,2.9,,0.2,setosa,0.6447774101384053
5.9,3.0,5.1,1.8,virginica,0.749368656030256
5.5,3.5,1.3,0.2,setosa,0.960464902164105
5.6,,3.6,1.3,versicolor,0.9383275358964116
6.5,3.0,5.2,2.0,virginica,0.9461553241713739
5.3,3.7,1.5,0.2,setosa,0.9670924725325989
5.1,3.4,1.5,,setosa,0.819070379365962
6.1,2.8,4.0,1.3,versicolor,0.979886439171806
5.5,2.4,3.7,1.0,versicolor,0.979959193972907
7.7,3.0,6.1,2.3,virginica,0.9601649679951544
6.9,3.1,4.9,1.5,versicolor,0.7719123930492622
6.0,2.2,5.0,1.5,versicolor,0.6199018837372551
