product_names,Price
"Add to CompareSponsoredHP Omen AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...4.333 Ratings & 5 ReviewsAMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.89 cm (16.1 Inch) Display1 Year Onsite Warranty₹1,04,990₹1,33,31721% offFree deliveryLowest Price in 30 daysUpto ₹33,000 Off on Exchange",104990.0
"Add to CompareHP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop4.1277 Ratings & 24 ReviewsAMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty by OEM₹25,460₹39,99936% offFree deliveryOnly few leftBank Offer",25460.0
"Add to CompareASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312W Thin ...4.32,914 Ratings & 304 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) DisplayNot Applicable1 Year Onsite Warranty₹28,990₹44,99035% offFree deliverySave extra with combo offersOnly few left",28990.0
"Add to CompareDELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...4.2729 Ratings & 85 ReviewsIntel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service₹35,880₹51,94430% offFree deliverySave extra with combo offersOnly 4 left",35880.0
"Add to CompareInfinix Inbook Y1 Plus Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and...4.3307 Ratings & 42 ReviewsIntel Core i5 Processor (10th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty₹25,990₹59,99056% offFree deliveryLowest Price in 30 daysUpto ₹24,000 Off on Exchange",25990.0
"Add to CompareASUS TUF Gaming F15 with 90WHr Battery Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Ho...4.52,228 Ratings & 231 ReviewsIntel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹59,990₹89,99033% offFree deliveryLowest Price in 15 daysUpto ₹28,000 Off on Exchange",59990.0
"Add to CompareASUS Vivobook S 14 Flip (2023) AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) TN3402...4.3111 Ratings & 9 ReviewsAMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty₹58,990₹92,99036% offFree deliveryLowest price in the yearUpto ₹30,000 Off on Exchange",58990.0
"Add to CompareLenovo V15 Series AMD Athlon Dual Core 7120U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light La...4.1188 Ratings & 17 ReviewsAMD Athlon Dual Core Processor8 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹24,162₹38,00036% offFree deliveryLowest Price in 30 daysOnly few left",24162.0
"Add to CompareASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...4.21,054 Ratings & 96 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹28,990₹44,99035% offFree deliverySave extra with combo offersUpto ₹28,000 Off on Exchange",28990.0
"Add to CompareASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thi...4.32,072 Ratings & 220 ReviewsIntel Core i3 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹39,990₹58,99032% offFree deliveryLowest price since launchUpto ₹28,000 Off on Exchange",39990.0
"Add to Comparewalker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Thin and Light Laptop3.8694 Ratings & 117 ReviewsIntel Celeron Dual Core Processor4 GB LPDDR4 RAMWindows 11 Operating System128 GB SSD35.81 cm (14.1 inch) Display1 Year Onsite Warranty₹12,990₹30,00056% offFree deliveryLowest Price in 30 daysUpto ₹12,200 Off on Exchange",12990.0
"Add to CompareLenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...4.2653 Ratings & 45 ReviewsIntel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 year onsite + 1 year accidental damage protection₹34,490₹58,89041% offFree deliverySave extra with combo offersUpto ₹28,000 Off on Exchange",34490.0
"Add to CompareLenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...4.1643 Ratings & 57 ReviewsIntel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty₹31,990₹47,49032% offFree deliveryLowest Price in 30 daysUpto ₹28,000 Off on Exchange",31990.0
"Add to CompareHP 2023 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light L...4.24,061 Ratings & 353 ReviewsAMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹31,990₹39,99520% offFree deliverySave extra with combo offersUpto ₹28,000 Off on Exchange",31990.0
"Add to CompareZEBRONICS Thin and Light Laptop Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) ZEB-NB...3.877 Ratings & 7 ReviewsIntel Core i7 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty₹43,990₹81,99946% offFree deliveryOnly few leftUpto ₹28,000 Off on Exchange",43990.0
"Add to CompareApple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A4.714,149 Ratings & 1,177 ReviewsApple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty₹74,990₹99,90024% offFree deliverySave extra with combo offersUpto ₹33,000 Off on Exchange",74990.0
"Add to CompareHP 15s (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Lig...4.2170 Ratings & 25 ReviewsAMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹35,490₹45,43821% offFree deliveryLowest Price in 30 daysUpto ₹28,000 Off on Exchange",35490.0
"Add to CompareLenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) TP E14 Gen 5 Thin...4.712 Ratings & 1 ReviewsAMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty₹51,990₹95,11145% offFree deliveryLowest price since launchUpto ₹28,000 Off on Exchange",51990.0
"Add to CompareDELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...4.3117 Ratings & 9 ReviewsIntel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹46,390₹62,62625% offFree deliveryOnly few leftBank Offer",46390.0
"Add to Comparerealme Book Prime Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin ...4.4577 Ratings & 89 ReviewsIntel Core i5 Processor (11th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Domestic Warranty₹43,990₹74,99941% offFree deliveryLowest price in the yearUpto ₹28,000 Off on Exchange",43990.0
"Add to CompareASUS Vivobook Go 15 (2023) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5...4.31,060 Ratings & 76 ReviewsAMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹39,990₹66,99040% offFree deliveryLowest Price in 30 daysUpto ₹28,000 Off on Exchange",39990.0
